Model,CV_R2,CV_MSE,CV_MAE,Train_R2,Val_R2,Val_MSE,Val_MAE,Test_R2,Test_MSE,Test_MAE,Test_Pearson_r,Overfit_Gap_Val,Overfit_Gap_Test
Ridge,0.5138114627615433,0.05042990602505892,0.17352439015792262,0.5316360577531443,0.5044064441214431,0.04655583837542903,0.1650338504033339,0.34752385000910846,0.07161984207460019,0.20537904668875248,0.5981135023459359,0.027229613631701177,0.1841122077440358
Lasso,0.5123182728187308,0.05058478715187716,0.17412015700815123,0.5306610278234831,0.49682027989246014,0.04726847927147114,0.16795246327119925,0.35389185384401256,0.07092085035054614,0.20522345729252084,0.6019748242961956,0.033840747931022985,0.17676917397947056
ElasticNet,0.5112719476081616,0.050693317234343435,0.17435921967312681,0.5293718469999642,0.4920988161010126,0.04771201148161137,0.16963265569362954,0.3570207625151932,0.07057740186603229,0.20543407678325493,0.6038292552434089,0.03727303089895162,0.172351084484771
Random Forest,0.5423567411024304,0.04746904702915041,0.15542122816281087,0.730621712411547,0.5616388247091653,0.041179453979632005,0.14456251455990718,0.4075402575888454,0.06503206774322333,0.179593150497196,0.6462012247132161,0.1689828877023818,0.3230814548227017
XGBoost,0.5434427860712147,0.04735639701476326,0.1521430545117972,0.9271166962198016,0.6203386780134397,0.035665215849052155,0.12993068445473907,0.39589391619047454,0.06631044264123277,0.17592175633708637,0.6488579680874681,0.30677801820636197,0.5312227800293271
SVR (RBF),0.5708904170213779,0.04450939149445758,0.14285950578533863,0.6422589659573888,0.6160548177766569,0.036067639775757644,0.1340316166801788,0.44388667407086035,0.06104245891467703,0.16972040952940962,0.6840322258341245,0.026204148180731912,0.1983722918865285
AdaBoost,0.5360658185497341,0.04812157297092883,0.1577221273237791,0.7501503190154915,0.5591812545844503,0.041410317024894325,0.15073267108888827,0.4454015904431945,0.060876172267503324,0.1788248702158092,0.6689957653811414,0.1909690644310411,0.30474872857229696
