Variant,Classifier,AUC_mean,AUC_std
Entropy only (H_sem),Logistic Regression,0.873149374623267,0.03422225883584336
Entropy only (H_sem),Random Forest,0.8427775015069319,0.021348093782473338
Entropy only (H_sem),XGBoost,0.839915837854129,0.019902953880936377
"Geometry only (D_cos, M_bar)",Logistic Regression,0.9039447709463531,0.02901419720348433
"Geometry only (D_cos, M_bar)",Random Forest,0.8845428345388789,0.028832903214179244
"Geometry only (D_cos, M_bar)",XGBoost,0.8739298523206752,0.027748551469958662
Entropy + Geometry,Logistic Regression,0.9113864526823388,0.033514312219431394
Entropy + Geometry,Random Forest,0.9013286618444847,0.01971637289751662
Entropy + Geometry,XGBoost,0.9047644665461121,0.013171106224665025
All 5 geometric,Logistic Regression,0.923940852923448,0.016980992256610334
All 5 geometric,Random Forest,0.9162308619650392,0.022335126153067517
All 5 geometric,XGBoost,0.911795584689572,0.025862093888472257
All 5 + refused,Logistic Regression,0.923940852923448,0.016980992256610334
All 5 + refused,Random Forest,0.9162308619650392,0.022335126153067517
All 5 + refused,XGBoost,0.911795584689572,0.025862093888472257
