Variant,Classifier,CV_AUC_mean,CV_AUC_std,AUC_mean,AUC_std,Test_AUC
Entropy only (H_sem),Logistic Regression,0.8745398029003268,0.055990147541131685,0.8745398029003268,0.055990147541131685,0.8578125000000001
Entropy only (H_sem),ElasticNet Logit,0.8745398029003268,0.055990147541131685,0.8745398029003268,0.055990147541131685,0.8578125000000001
Entropy only (H_sem),Random Forest,0.8512336054213353,0.053614314176691824,0.8512336054213353,0.053614314176691824,0.7996875
Entropy only (H_sem),Gradient Boosting,0.8402516996381888,0.05355719928956591,0.8402516996381888,0.05355719928956591,0.7893749999999999
Entropy only (H_sem),XGBoost,0.8405394709967322,0.0600632290087851,0.8405394709967322,0.0600632290087851,0.7865624999999999
"Geometry only (D_cos, D_cos_var, D_pair, M_bar)",Logistic Regression,0.9252026070845005,0.03386108032227043,0.9252026070845005,0.03386108032227043,0.935625
"Geometry only (D_cos, D_cos_var, D_pair, M_bar)",ElasticNet Logit,0.9246509541316528,0.03304348243287187,0.9246509541316528,0.03304348243287187,0.93375
"Geometry only (D_cos, D_cos_var, D_pair, M_bar)",Random Forest,0.9098090277777778,0.03724840519506202,0.9098090277777778,0.03724840519506202,0.90125
"Geometry only (D_cos, D_cos_var, D_pair, M_bar)",Gradient Boosting,0.9131173953956584,0.031737777013669546,0.9131173953956584,0.031737777013669546,0.9046875000000001
"Geometry only (D_cos, D_cos_var, D_pair, M_bar)",XGBoost,0.8935503107492998,0.043583297166241444,0.8935503107492998,0.043583297166241444,0.8806250000000002
Entropy + Geometry,Logistic Regression,0.9250911823062559,0.04170261694795805,0.9250911823062559,0.04170261694795805,0.92
Entropy + Geometry,ElasticNet Logit,0.9272139063958917,0.0414046269775953,0.9272139063958917,0.0414046269775953,0.92125
Entropy + Geometry,Random Forest,0.9130693423202615,0.03498101668483209,0.9130693423202615,0.03498101668483209,0.898125
Entropy + Geometry,Gradient Boosting,0.9095555409663867,0.028417878137619704,0.9095555409663867,0.028417878137619704,0.8896875
Entropy + Geometry,XGBoost,0.9024746877917835,0.03520954732649524,0.9024746877917835,0.03520954732649524,0.8724999999999999
All 7 geometric,Logistic Regression,0.9235372534430439,0.04012896764732377,0.9235372534430439,0.04012896764732377,0.9112500000000001
All 7 geometric,ElasticNet Logit,0.924709128443044,0.03919694243351066,0.924709128443044,0.03919694243351066,0.9100000000000001
All 7 geometric,Random Forest,0.9227988591269842,0.03688046468609433,0.9227988591269842,0.03688046468609433,0.89
All 7 geometric,Gradient Boosting,0.9266469348155928,0.027461723390148463,0.9266469348155928,0.027461723390148463,0.8953125
All 7 geometric,XGBoost,0.9208665236928105,0.022890098710691184,0.9208665236928105,0.022890098710691184,0.869375
