Domain,Classifier,AUC_mean,AUC_std,n_questions
defan,Logistic Regression,0.923940852923448,0.016980992256610334,500
defan,Random Forest,0.9158558619650392,0.02224578065043392,500
defan,XGBoost,0.911795584689572,0.025862093888472257,500
halueval,Logistic Regression,0.7764659720830829,0.10147351519266161,500
halueval,Random Forest,0.8726491017164228,0.05107560547962423,500
halueval,XGBoost,0.8659733353369399,0.06168919789959515,500
mmlu,Logistic Regression,0.9459913504217301,0.018277651179247963,500
mmlu,Random Forest,0.924924653405666,0.032095441257969905,500
mmlu,XGBoost,0.9183982683982684,0.03774068920605286,500
triviaqa,Logistic Regression,0.9735622341194607,0.009694069496539027,500
triviaqa,Random Forest,0.9693756189878838,0.009782447037116471,500
triviaqa,XGBoost,0.967669079149671,0.009403186814634453,500
truthfulqa,Logistic Regression,0.9219246031746031,0.03385481168348845,500
truthfulqa,Random Forest,0.9336805555555555,0.042290771868524445,500
truthfulqa,XGBoost,0.9371031746031745,0.04330405438920481,500
